  Elapsed time	Data
   (hr)	(psia)
  0 2988.99
  0.495833333 2991.280000000001
  0.516666667 2994.32
  0.545833333 2996.7
  0.566666667 2999.12
  0.6 3001.73
  0.629166667 3003.85
  0.6625 3006.6
  0.6958333329999999 3008.86
  0.745833333 3010.91
  0.9458333329999999 3013.14
  1.266666667 3015.230000000001
  1.6 3017.31
  1.779166667 3019.32
  1.8625 3021.33
  2.95 3023.51
  3.3875 3025.51
  3.85 3027.53
  4.199999999999999 3029.53
  4.633333333 3031.93
  5.183333333 3034.03
  5.512499999999999 3036.05
  6.1 3038.31
  6.7125 3040.46
  7.35 3042.49
  7.795833332999999 3044.86
  8.333333332999999 3047.1
  8.949999999999999 3049.15
  9.529166667 3051.18
  10.14583333 3053.23
  10.75 3055.45
  11.6 3057.48
  11.9 3059.55
  12.00833333 3060.52
  12.0125 3063.08
  12.01666667 3065.65
  12.03333333 3063.33
  12.08333333 3065.45
  12.18333333 3067.89
  12.27916667 3069.9
  12.3125 3072.04
  12.41666667 3074.090000000001
  12.47916667 3076.2
  12.50833333 3075.09
  12.5125 3080.02
  12.51666667 3085.3
  12.53333333 3082.06
  12.56666667 3084.44
  12.575 3084.48
  12.57916667 3086.97
  12.58333333 3089.64
  12.6 3086.37
  12.60833333 3086.25
  12.6125 3089.2
  12.61666667 3092.38
  12.7 3089.65
  12.71666667 3092.89
  12.74166667 3092.5
  12.74583333 3095.64
  12.75 3098.79
  12.75833333 3098.8
  12.7625 3091.71
  12.76666667 3084.63
  12.775 3084.65
  12.77916667 3097.42
  12.78333333 3110.19
  12.79166667 3110.24
  12.79583333 3099.15
  12.8 3088.01
  12.80833333 3088.000000000001
  12.8125 3092.94
  12.81666667 3098.250000000001
  12.83333333 3094.91
  12.9 3092.6
  12.93333333 3089.18
  12.94166667 3089.04
  12.94583333 3091.4
  12.95 3093.940000000001
  13.0125 3096.15
  13.025 3097.87
  13.02916667 3093.81
  13.03333333 3089.75
  13.04166667 3089.75
  13.04583333 3092.04
  13.05 3094.34
  13.06666667 3090.75
  13.075 3090.74
  13.07916667 3094.41
  13.08333333 3098.07
  13.09166667 3098.07
  13.09583333 3093.33
  13.1 3088.58
  13.10833333 3088.58
  13.1125 3092.82
  13.11666667 3097.07
  13.125 3097.07
  13.12916667 3094.53
  13.13333333 3091.98
  13.14166667 3091.97
  13.14583333 3096.51
  13.15 3101.07
  13.15833333 3101.37
  13.1625 3098.33
  13.16666667 3095.070000000001
  13.175 3094.860000000001
  13.17916667 3098.59
  13.18333333 3102.62
  13.19166667 3102.9
  13.19583333 3100.48
  13.2 3097.89
  13.225 3096.55
  13.22916667 3093.52
  13.23333333 3090.28
  13.25 3092.75
  13.25833333 3092.84
  13.2625 3096.72
  13.26666667 3100.9
  13.29166667 3101.1
  13.29583333 3107.95
  13.3 3115.27
  13.30833333 3115.78
  13.3125 3109.12
  13.31666667 3101.98
  13.325 3101.54
  13.32916667 3109.01
  13.33333333 3116.46
  13.34166667 3116.449999999999
  13.34583333 3112.05
  13.35 3107.67
  13.35833333 3107.67
  13.3625 3111.08
  13.36666667 3114.48
  13.375 3114.47
  13.37916667 3110.18
  13.38333333 3105.9
  13.39166667 3105.89
  13.39583333 3113.38
  13.4 3120.85
  13.40833333 3120.85
  13.4125 3115.840000000001
  13.41666667 3110.81
  13.44166667 3109.17
  13.44583333 3103.31
  13.45 3097.47
  13.45833333 3097.49
  13.4625 3101.72
  13.46666667 3105.96
  13.475 3105.97
  13.47916667 3099.24
  13.48333333 3092.49
  13.49166667 3092.46
  13.49583333 3098.83
  13.5 3105.64
  13.50833333 3106.08
  13.5125 3102.01
  13.51666667 3097.65
  13.525 3097.35
  13.52916667 3105.489999999999
  13.53333333 3114.24
  13.54166667 3114.81
  13.54583333 3110.04
  13.55 3104.93
  13.55833333 3104.6
  13.5625 3102.05
  13.56666667 3099.32
  13.575 3099.15
  13.57916667 3102.18
  13.58333333 3105.43
  13.59166667 3105.65
  13.59583333 3113.31
  13.6 3121.5
  13.60833333 3122.04
  13.6125 3114.22
  13.61666667 3105.84
  13.625 3105.25
  13.62916667 3114.81
  13.63333333 3125.01
  13.64166667 3125.7
  13.64583333 3118.86
  13.65 3111.52
  13.65833333 3111.050000000001
  13.6625 3118.27
  13.66666667 3125.98
  13.675 3126
  13.67916667 3120.56
  13.68333333 3115.1
  13.69166667 3115.11
  13.69583333 3122.159999999999
  13.7 3129.21
  13.70833333 3129.21
  13.7125 3123.36
  13.71666667 3117.5
  13.725 3117.51
  13.72916667 3123.15
  13.73333333 3128.79
  13.74166667 3128.8
  13.74583333 3123.66
  13.75 3118.53
  13.76666667 3122
  13.775 3121.98
  13.77916667 3113.72
  13.78333333 3105.46
  13.79166667 3105.469999999999
  13.79583333 3111.39
  13.8 3117.29
  13.80833333 3117.29
  13.8125 3112.74
  13.81666667 3108.19
  13.825 3108.2
  13.82916667 3114.670000000001
  13.83333333 3121.13
  13.84166667 3121.54
  13.84583333 3115.46
  13.85 3108.97
  13.85833333 3108.54
  13.8625 3116.28
  13.86666667 3124.59
  13.875 3125.16
  13.87916667 3118.77
  13.88333333 3111.92
  13.89166667 3111.46
  13.89583333 3114.17
  13.9 3117.08
  13.90833333 3117.27
  13.9125 3111.45
  13.91666667 3105.2
  13.925 3104.78
  13.92916667 3112.72
  13.93333333 3121.23
  13.94166667 3121.79
  13.94583333 3114.440000000001
  13.95 3106.56
  13.95833333 3106.07
  13.9625 3113.21
  13.96666667 3120.89
  13.975 3121.42
  13.97916667 3113.21
  13.98333333 3104.4
  13.99166667 3103.8
