X Y
14.60773 3.05617
14.38288 2.87719
14.38255 3.21428
14.18135 3.42573
14.14104 2.74169
13.93951 3.65746
13.89920 2.60619
13.69767 3.88245
13.65737 2.47743
13.45584 4.10744
13.41553 2.34868
13.21400 4.32569
13.17370 2.22329
12.97217 4.53720
12.93186 2.10800
12.73033 4.73524
12.69003 1.99272
12.48850 4.92991
12.44819 1.88418
12.24666 5.10773
12.20635 1.78574
12.00483 5.28219
11.96452 1.68730
11.76299 5.44654
11.72268 1.59224
11.52115 5.59404
11.48085 1.51064
11.27932 5.73817
11.23901 1.42905
11.03748 5.87220
10.99718 1.35420
10.79565 6.00623
10.75534 1.28608
10.55381 6.12341
10.51351 1.21123
10.31198 6.23048
10.27167 1.15659
10.07014 6.33756
10.02983 1.09521
9.82830 6.43452
9.78800 1.04057
9.58647 6.52475
9.54616 0.99267
9.34463 6.61161
9.30433 0.94477
9.10280 6.69173
9.06249 0.89350
8.86096 6.76849
8.82066 0.85233
8.61913 6.83850
8.57882 0.81454
8.37729 6.90515
8.33698 0.77338
8.13545 6.97179
8.09515 0.73221
7.89362 7.02496
7.85331 0.69779
7.65178 7.09161
7.61148 0.66673
7.40995 7.14478
7.36964 0.63904
7.16811 7.19795
7.12781 0.60799
6.92628 7.25112
6.88597 0.57019
6.68444 7.30765
6.64413 0.54587
6.44260 7.34398
6.40230 0.52492
6.20077 7.38704
6.16046 0.48376
5.95893 7.43010
5.91863 0.46618
5.71710 7.47317
5.67679 0.44186
5.47526 7.51623
5.43496 0.41081
5.23343 7.55592
5.19312 0.39996
4.99159 7.59562
4.95128 0.36217
4.74976 7.63194
4.70945 0.35470
4.50792 7.66826
4.46761 0.33712
4.26608 7.70459
4.22578 0.33301
4.02425 7.73754
3.98394 0.31543
3.78241 7.77050
3.74211 0.31133
3.54058 7.80345
3.50027 0.29375
3.29874 7.82630
3.25844 0.29301
2.93599 7.87742
2.73446 7.91218
2.49262 7.94514
2.25079 7.97136
2.00895 7.99757
1.76712 8.03053
1.52528 8.06348
1.28344 8.08633
1.04161 8.11255
0.79977 8.14887
0.55794 8.17509
