X Y
14.58944 3.00331
14.76578 3.33317
14.55855 3.34265
14.84639 3.61305
14.56425 3.64251
14.56425 3.87834
14.96731 3.88630
15.08823 4.15620
14.59112 4.17827
15.20915 4.42609
14.58441 4.45114
15.33007 4.69598
14.63335 4.71985
15.45098 4.94902
14.67365 5.13003
15.57190 5.19533
15.69282 5.46859
14.72548 5.56588
15.83101 5.73420
15.95769 5.99448
14.76578 6.01324
16.09588 6.24806
14.80609 6.43858
16.23695 6.51549
14.83296 6.79675
16.39817 6.80150
16.55940 7.08499
14.87326 7.17420
16.72062 7.35585
14.91357 7.53481
16.88184 7.61154
17.04307 7.85966
14.96731 7.94684
17.21101 8.10891
15.00762 8.35040
17.39575 8.37872
17.59727 8.62948
15.04792 8.68069
17.76858 8.89110
15.09399 9.02688
17.97010 9.15113
15.13525 9.37835
18.19755 9.40017
18.45378 9.67817
15.16884 9.68436
18.69561 9.92148
15.18899 10.01694
18.93745 10.14794
15.25617 10.27151
19.17928 10.35755
19.42112 10.55706
15.28976 10.57011
19.66295 10.73636
15.33007 10.83302
19.90479 10.91228
15.35022 11.06352
20.14663 11.07810
20.38846 11.23381
15.39052 11.30621
20.63030 11.37941
20.87213 11.51491
15.43083 11.54891
21.11397 11.65714
21.35580 11.77916
15.47114 11.80171
21.59764 11.90118
21.83948 12.02321
15.49129 12.10161
22.08131 12.13175
22.32315 12.24366
22.56498 12.34547
15.57766 12.37814
22.80682 12.45064
23.04865 12.54571
23.29049 12.64078
23.53233 12.73585
15.65251 12.77254
23.77416 12.82418
24.01600 12.91251
24.25783 12.99747
24.49967 13.07906
15.71297 13.14669
24.74150 13.16065
24.98334 13.24225
25.22517 13.32384
25.46701 13.38185
15.79358 13.51079
25.82976 13.51097
26.07160 13.58246
26.31344 13.66068
26.55527 13.73216
26.79711 13.80365
27.03894 13.87513
15.89435 13.90022
27.28078 13.94999
27.52261 14.01810
15.97496 14.25590
16.05557 14.45492
16.11200 14.75776
16.21680 15.08012
16.27726 15.33659
16.37802 15.61148
16.49894 15.93527
16.61986 16.23548
16.74077 16.51211
16.86169 16.77863
16.99988 17.05772
17.12656 17.31800
17.28490 17.58849
17.44613 17.87198
17.60735 18.13020
17.76858 18.37831
17.92980 18.62137
18.10110 18.88215
18.28248 19.13538
18.48401 19.38615
18.65243 19.64728
