X Y
14.58441 3.07152
14.69708 3.25772
14.72548 3.25893
14.78190 3.46529
14.88670 3.72098
15.00762 4.00097
15.10838 4.22027
15.20915 4.44630
15.30991 4.67065
15.41068 4.88826
15.53160 5.13120
15.63236 5.34880
15.73313 5.57652
15.85404 5.81272
15.97496 6.03208
16.09588 6.26828
16.21680 6.50111
16.33771 6.71372
16.45863 6.92971
16.57955 7.13896
16.70047 7.34147
16.82139 7.53724
16.94806 7.74747
17.10353 7.96849
17.25899 8.17869
17.39143 8.38701
17.54689 8.58385
17.70812 8.79659
17.86934 8.99164
18.03056 9.17406
18.20074 9.38991
18.39332 9.57692
18.59485 9.77967
18.78742 9.97566
18.99791 10.20539
19.18600 10.34747
19.40097 10.53813
19.60250 10.69642
19.80403 10.83853
20.00556 10.98468
20.20708 11.11871
20.40861 11.24465
20.61014 11.36655
20.81167 11.48440
21.01320 11.59822
21.21473 11.70799
21.41626 11.80967
21.61779 11.91135
21.81932 12.01304
22.02085 12.10663
22.22238 12.19619
22.42391 12.28575
22.62544 12.37530
22.82697 12.45677
23.02850 12.53824
23.23003 12.61971
23.43156 12.69309
23.63309 12.77052
23.83462 12.84795
24.03615 12.92133
24.23768 12.99067
24.43921 13.05597
24.64074 13.12935
24.84227 13.19465
25.04380 13.25995
25.24533 13.33333
25.44686 13.38246
25.64839 13.42956
25.84992 13.51710
26.05145 13.57835
26.25298 13.63961
26.45451 13.70086
26.65604 13.76212
26.85757 13.82337
27.05910 13.88059
27.26063 13.94588
27.46215 13.99501
