X Y
14.50883 3.46118
14.54435 3.71212
14.47743 3.13295
14.59952 4.22378
14.58986 4.00644
14.63335 4.68231
14.63016 4.53214
14.66502 5.17910
14.66502 4.97695
14.70532 5.58350
14.70532 5.38641
14.75772 6.01220
14.74563 5.78577
14.79937 6.43279
14.77922 6.19016
14.84639 6.85238
14.82624 6.58448
14.87998 7.18770
14.91549 7.57091
14.89912 7.36294
14.95580 7.92334
15.00186 8.31621
15.04217 8.65131
15.07671 8.97485
15.11510 9.29406
14.98201 8.11112
15.16884 9.63787
15.18899 10.00178
15.24945 10.25212
15.28976 10.57146
15.32335 10.84108
15.36231 11.11611
15.40262 11.36285
15.45770 11.62648
15.47114 11.85224
15.53160 12.15160
15.57190 12.33769
15.59205 12.52979
15.64445 12.77049
15.69954 13.02199
15.73313 13.26803
15.81374 13.56897
15.89435 13.91033
15.96824 14.23566
16.03542 14.46159
16.12006 14.71251
16.17649 15.03004
16.26382 15.25064
16.34443 15.47661
16.42504 15.69921
16.50566 15.91171
16.55940 16.11064
16.66016 16.32724
16.74077 16.55389
16.84154 16.74825
16.94230 16.98102
17.06322 17.20711
17.18414 17.42984
17.30506 17.64582
17.42597 17.85844
17.54689 18.05758
17.67357 18.26396
17.82903 18.48968
17.99026 18.73021
18.14572 18.93535
18.27816 19.14367
18.43362 19.34051
18.58909 19.54024
18.69561 19.71527
