time	pressure_measure
[0.0, -2.928333, -5.856667, -32.745556, -51.064722]	[0.0, -3.470247, -7.014217, -43.900906, -75.907231]
[0.0, -0.130833, -0.261667, -1.444722, -2.499167]	[0.0, 2.357905, 4.745042, 27.800426, 50.934658]
[0.0, -2.174167, -4.348333, -10.141389, -14.088056]	[0.0, -9.368156, -19.856413, -55.924786, -92.415391]
[0.0, -0.002778, -0.005278, -0.012778, -0.019444]	[0.0, -0.278444, -0.564902, -1.442547, -2.296898]
[0.0, -6.5325, -13.064722, -25.545556, -34.048611]	[0.0, -16.368913, -35.11735, -81.007108, -125.547574]
[0.0, -2.443333, -4.886944, -10.816944, -16.102222]	[0.0, 7.128509, 14.637056, 34.681167, 55.182097]
[0.0, -5.976667, -11.953056, -42.2475, -72.541944]	[0.0, -3.126825, -6.305237, -23.287391, -41.976321]
[0.0, -1.453056, -2.906389, -7.616667, -11.814722]	[0.0, 7.297753, 14.854768, 41.359735, 68.062564]
[0.0, -11.356944, -22.714167, -41.033333, -53.513889]	[0.0, -18.794173, -42.032012, -95.819834, -155.96774]
[0.0, -0.059167, -0.118333, -0.589444, -1.009444]	[0.0, 3.113389, 6.26865, 32.974853, 59.631138]
[0.0, -8.245, -16.49, -43.378889, -61.698056]	[0.0, -5.712535, -11.831635, -35.928007, -59.094249]
[0.0, -0.117778, -0.235556, -3.570278, -6.542222]	[0.0, 0.864234, 1.731964, 27.864411, 54.142315]
[0.0, -2.293611, -4.587222, -8.533889, -11.222778]	[0.0, -13.307146, -28.720683, -62.593783, -94.793375]
[0.0, -1.616389, -3.232778, -6.204722, -8.853611]	[0.0, 9.643728, 19.888138, 40.563749, 61.450868]
[0.0, -11.089444, -22.178889, -52.473333, -79.362222]	[0.0, -9.820132, -20.67011, -57.876834, -107.532807]
[0.0, -1.629722, -3.259444, -12.657778, -21.034167]	[0.0, 3.701327, 7.480955, 30.974077, 54.801219]
[0.0, -6.710278, -13.420556, -43.715, -70.603611]	[0.0, -7.29846, -15.108208, -59.08018, -118.838686]
[0.0, -0.326389, -0.653056, -1.836389, -2.890833]	[0.0, 5.307512, 10.756382, 31.808648, 52.594461]
[0.0, -2.570556, -5.141389, -9.088056, -11.776944]	[0.0, -13.182328, -30.115423, -68.612138, -111.796144]
[0.0, -0.284722, -0.569722, -1.753056, -2.8075]	[0.0, 4.355639, 8.82828, 28.801664, 48.864864]
[0.0, -13.586667, -27.173333, -54.062222, -72.381389]	[0.0, -12.914379, -27.786478, -66.377318, -105.785381]
[0.0, -0.049167, -0.098333, -0.626667, -1.097778]	[0.0, 2.339188, 4.701568, 31.686142, 58.608631]
[0.0, -4.129167, -8.258056, -26.577222, -39.058056]	[0.0, -3.465574, -7.152623, -27.567199, -49.074219]
[0.0, -1.387222, -2.774444, -5.746667, -8.395556]	[0.0, 10.612162, 21.777002, 47.838417, 74.029625]
[0.0, -1.053333, -2.106667, -28.995556, -47.314722]	[0.0, -1.0727, -2.159903, -36.438796, -72.014435]
[0.0, -0.708056, -1.416389, -3.776944, -5.881111]	[0.0, 6.898106, 14.029262, 39.698065, 65.499311]
[0.0, -4.713333, -9.426944, -39.721389, -70.015556]	[0.0, -0.938967, -1.887916, -8.247523, -15.135766]
[0.0, -0.318056, -0.636389, -1.690833, -2.630556]	[0.0, 6.616263, 13.444003, 37.769274, 62.057151]
[0.0, -13.117222, -26.234722, -56.529167, -86.823333]	[0.0, -4.502389, -9.309115, -21.952974, -37.986313]
[0.0, -0.575833, -1.151944, -3.256111, -5.131389]	[0.0, 6.858922, 13.921563, 41.657609, 69.419368]
[0.0, -11.689444, -23.378889, -41.698056, -54.178889]	[0.0, -10.91882, -24.796895, -57.509972, -96.530207]
[0.0, -0.031944, -0.063889, -0.901667, -1.648333]	[0.0, 0.968479, 1.940974, 28.888799, 55.818881]
[0.0, -2.064444, -4.128889, -12.631944, -18.425]	[0.0, -4.020368, -8.498275, -34.459345, -65.963235]
[0.0, -0.406944, -0.813889, -1.651667, -2.398333]	[0.0, 10.724457, 22.007495, 47.249822, 72.508635]
[0.0, -1.916389, -3.833056, -12.335833, -18.128889]	[0.0, -3.414427, -7.212999, -31.198532, -60.669392]
[0.0, -0.229444, -0.458889, -1.786389, -2.969722]	[0.0, 3.644131, 7.357257, 30.335733, 53.352638]
[0.0, -0.668611, -1.3375, -31.631667, -58.520556]	[0.0, 0.036171, 0.07249, 1.833061, 3.232835]
[0.0, -0.003056, -0.006389, -0.014722, -0.022222]	[0.0, -0.089247, -0.182953, -0.455896, -0.733315]
[0.0, -5.849444, -11.698889, -41.993333, -72.287778]	[0.0, 0.11804, 0.239968, 0.932651, 1.719338]
[0.0, -0.003333, -0.006389, -0.014722, -0.022222]	[0.0, -0.067581, -0.139047, -0.349828, -0.56746]
[0.0, -6.819444, -13.638611, -43.933056, -74.227222]	[0.0, -0.008626, -0.015454, -0.02352, 0.005972]
[0.0, -0.003333, -0.006389, -0.014722, -0.022222]	[0.0, -0.162539, -0.330357, -0.804539, -1.267549]
[0.0, -2.743611, -5.487222, -13.99, -19.783056]	[0.0, -7.850459, -16.641492, -52.456139, -89.376978]
[0.0, -0.003056, -0.006389, -0.013889, -0.020556]	[0.0, -1.118004, -2.275143, -5.175819, -7.998616]
[0.0, -11.940278, -23.880556, -54.175, -84.469167]	[0.0, 0.153846, 0.312454, 0.736584, 1.192411]
