time,pressure_measure
"[0.0, -2.9283333333333417, -5.856666666666655, -32.74555555555557, -51.06472222222223, -63.545277777777784, -72.04833333333335, -77.8413888888889, -81.78805555555556, -84.47694444444446]","[0.0, -3.4702469961298448, -7.014217274580005, -43.900906430919804, -75.90723085277978, -103.93199683037983, -128.84332356368986, -151.39003964006997, -172.16686426219985, -191.61579709546004]"
"[0.0, -0.13083333333332803, -0.26166666666665606, -1.4447222222222535, -2.4991666666666674, -3.439166666666665, -4.276666666666699, -5.023333333333369, -5.688611111111129, -6.281666666666695]","[0.0, 2.3579054531801376, 4.745041603480331, 27.800425903810265, 50.93465814241017, 74.13010248075989, 97.36988511234995, 120.63778498728016, 143.91817654921033, 167.19591874666003]"
"[0.0, -2.174166666666622, -4.348333333333301, -10.141388888888855, -14.088055555555513, -16.77694444444444, -18.608888888888885, -19.856944444444423, -20.707222222222185, -21.286666666666633]","[0.0, -9.368156440929852, -19.856413301200064, -55.924785947800046, -92.41539133369997, -128.81562810186006, -164.60617560617993, -199.39710815289027, -232.95180512630986, -265.1433913379301]"
"[0.0, -0.002777777777737356, -0.005277777777735082, -0.01277777777772826, -0.019444444444445708, -0.025555555555513365, -0.03138888888884139, -0.037499999999965894, -0.043611111111090395, -0.049722222222214896]","[0.0, -0.27844389162009975, -0.5649022868897191, -1.4425473116098146, -2.2968980688397096, -3.1463356916497105, -4.078769141169687, -5.114320043149746, -6.282257794439829, -7.627998290319738]"
"[0.0, -6.532500000000027, -13.064722222222201, -25.545555555555552, -34.048611111111086, -39.8413888888889, -43.788333333333355, -46.477222222222224, -48.30916666666667, -49.55722222222221]","[0.0, -16.36891324717999, -35.11735046696003, -81.00710835506015, -125.5475741765099, -168.26787129772993, -208.77137156936988, -246.87542407881983, -282.6178126596501, -316.1781538380701]"
"[0.0, -2.443333333333328, -4.8869444444444525, -10.81694444444446, -16.102222222222224, -20.8125, -25.010555555555584, -28.752222222222258, -32.08694444444444, -35.05916666666667]","[0.0, 7.1285093219999, 14.6370561450899, 34.68116737016999, 55.18209675130993, 76.1247163306698, 97.49260995589975, 119.26803400902963, 141.43196541917996, 163.96417572523978]"
"[0.0, -5.976666666666688, -11.95305555555558, -42.24750000000006, -72.54194444444443, -102.83611111111111, -133.1305555555556, -163.42500000000007, -193.71916666666664, -220.60805555555555]","[0.0, -3.1268245490500703, -6.305237077779566, -23.287390714130197, -41.97632060577962, -62.83399173321959, -86.55930006528979, -114.2952139150002, -148.14554840451, -187.0028851679499]"
"[0.0, -1.4530555555555793, -2.9063888888888414, -7.616666666666674, -11.814722222222258, -15.556388888888932, -18.89111111111106, -21.863333333333344, -24.51222222222225, -26.87305555555554]","[0.0, 7.297753413140072, 14.854767513609659, 41.35973492303992, 68.06256375766998, 94.94122271123979, 121.97496679287997, 149.14426522841995, 176.43074514659975, 203.81709301304]"
"[0.0, -11.35694444444448, -22.714166666666642, -41.03333333333342, -53.513888888888914, -62.01694444444445, -67.81000000000006, -71.75666666666666, -74.44555555555564, -76.27750000000003]","[0.0, -18.794173380329994, -42.032011526230235, -95.81983366524037, -155.96773968651996, -222.3011685567999, -293.94666048751014, -369.58560681097015, -447.6927993896602, -526.70254336053]"
"[0.0, -0.0591666666666697, -0.1183333333333394, -0.5894444444444389, -1.009444444444398, -1.3836111111111222, -1.7169444444443798, -2.014166666666597, -2.2791666666665833, -2.5149999999999864]","[0.0, 3.113389444279619, 6.268649873799859, 32.974852829479914, 59.63113759561975, 86.22161265259001, 112.73047626396965, 139.14194585408995, 165.44026182959988, 191.60962617241967]"
"[0.0, -8.245000000000118, -16.49000000000001, -43.37888888888892, -61.698055555555584, -74.1786111111112, -82.68166666666673, -88.47472222222234, -92.42138888888894, -95.11027777777792]","[0.0, -5.712534874110133, -11.831635020280373, -35.92800677123978, -59.09424900063004, -82.60372873321012, -107.90445526357053, -136.44476756962013, -169.40183399890975, -207.40170238178052]"
