time	pressure_measure
[0.0, 0.006111, 0.012222, 0.018056]	[0.0, 76.208313, 103.431983, 122.926474]
[0.0, 0.006111, 0.011944, 0.018056]	[0.0, 80.421069, 109.587133, 130.639113]
[0.0, 0.006111, 0.012222, 0.018056]	[0.0, 62.699305, 85.14341, 101.235696]
[0.0, 0.006111, 0.012222, 0.018056]	[0.0, 57.915989, 78.638861, 93.493076]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 50.957296, 69.004806, 81.859874]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 92.041139, 124.976346, 148.585303]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 55.72396, 75.658446, 89.945758]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 46.536062, 63.193774, 75.137015]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 54.847727, 74.428599, 88.444792]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 88.812683, 120.561496, 143.306309]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 62.63529, 84.883911, 100.760256]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 85.180052, 115.657473, 137.503436]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 43.170745, 58.594691, 69.640516]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 46.37499, 62.904229, 74.724201]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 49.03879, 66.555955, 79.099376]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 51.032416, 69.192157, 82.165076]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 46.028985, 62.414019, 74.121662]
[0.0, 0.006111, 0.012222, 0.018333]	[0.0, 89.361306, 121.304089, 144.186909]
[0.0, 0.006111, 0.012222, 0.018056]	[0.0, 55.40895, 75.342045, 89.667296]
[0.0, 0.006111, 0.011944, 0.018056]	[0.0, 51.606121, 70.153279, 83.475263]
[0.0, 0.006111, 0.011944, 0.018056]	[0.0, 66.205727, 90.092058, 107.288829]
[0.0, 0.006111, 0.012222, 0.018056]	[0.0, 50.785046, 70.164716, 84.503259]
